	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	sa35	sa36	sa37	sa38	sa39	sa40	sa41	sa42	sa43	sa44	sa45	sa46	sa47	sa48	sa49	sa50	sa51
ASV_1017	13	19	0	0	0	0	0	0	0	39	27	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1018	0	0	0	0	21	16	0	0	0	0	0	0	0	0	18	0	0	0	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV_1019	0	0	0	0	13	30	0	0	0	0	0	0	18	12	19	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV_1020	0	0	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0	0	0	0	0	8	0	34	19	18	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV_1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1023	0	0	0	20	0	27	0	0	0	0	0	0	0	0	37	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1024	0	0	0	14	11	10	0	0	0	0	0	0	8	0	5	0	0	0	15	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0
ASV_1025	0	0	0	12	18	6	0	0	0	0	0	0	0	8	15	0	0	0	13	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0
ASV_1026	0	0	0	0	0	0	7	0	0	27	0	0	0	0	0	36	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV_1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	25	0	36	0	0	0	0	0	0
ASV_1028	21	0	0	0	0	0	0	0	0	0	0	0	0	55	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1029	0	0	0	30	28	0	0	0	0	0	0	0	18	9	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1030	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	23	17	0	0	0	0	5	0	14	10	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	16	9	0	0	0	0	0	0	23	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	11	0
ASV_1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	102	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	51	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV_1034	16	52	9	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	6	0	0
ASV_1035	0	0	0	15	13	25	0	0	0	0	0	0	23	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV_1036	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	6	0	0	0	0	15	0	49	9	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1037	0	0	0	0	0	0	0	0	0	0	68	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	17	0	0	0	0
ASV_1038	0	0	0	42	25	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV_1039	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	20	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1040	0	0	0	27	16	28	0	0	0	0	0	0	14	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	0	0	0	0
ASV_1041	0	0	0	13	21	12	0	0	0	0	0	0	0	0	0	0	0	0	21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0
ASV_1042	0	0	0	11	0	0	0	0	0	0	0	0	24	14	4	0	0	0	13	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV_1043	0	0	0	14	0	0	0	0	0	0	0	0	11	15	11	0	0	0	0	0	0	0	0	0	17	0	0	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	7	0	18	0	0	0	0
ASV_1044	0	0	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV_1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1047	0	0	0	28	25	0	0	0	0	0	0	0	0	24	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1048	0	0	0	24	29	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0	0
ASV_1049	0	0	0	9	0	0	0	0	0	0	0	0	43	0	10	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV_1050	0	0	0	0	12	0	0	0	0	0	0	0	0	0	22	0	0	0	36	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV_1051	0	0	0	0	11	8	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0	0	10	8	12	0	0	0	0	0	0	6	0	3	0	4	0
ASV_1052	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	18	0	21	18	11	0	0	0	0	0	0	0	0	22	0	7	0	0	0	0	0	0	0	0	0	0
ASV_1053	0	10	0	0	0	0	0	8	0	10	0	0	0	0	0	0	10	11	0	0	0	31	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV_1054	0	0	0	11	0	0	0	0	0	0	0	0	11	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	25	0	0	0	0
ASV_1055	0	0	0	6	11	13	0	0	0	0	0	0	12	11	14	0	0	0	0	5	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0
ASV_1056	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	24	0	0	12	13	0	0	0
ASV_1057	0	0	0	0	9	0	0	0	0	0	0	0	10	13	6	0	0	0	35	16	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1058	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	25	32	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV_1059	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	13	0	0	0	0	0	0	38	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
ASV_1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	53	0	0	0	0
ASV_1061	0	0	0	21	7	6	0	0	0	0	0	0	8	61	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1062	0	0	0	12	0	0	0	0	0	0	0	0	9	0	23	0	0	0	41	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1063	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	41	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1064	0	0	0	0	9	12	0	0	0	0	0	0	11	9	0	0	0	0	10	10	5	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	13	5	0	0	0	0
ASV_1065	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	8	6	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_1066	0	0	0	0	0	19	0	0	0	0	0	0	11	0	9	0	0	0	0	0	13	0	0	0	5	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0
ASV_1067	0	0	0	0	0	0	0	0	0	0	0	0	33	13	11	0	0	0	25	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_1068	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	48	0	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1069	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	30	0	0	0	0
ASV_1070	0	0	0	16	0	10	0	0	0	0	0	0	0	17	10	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	7	0	0	0	0	0	0	8	9	0	0	0	0
ASV_1071	0	0	0	10	11	10	0	0	0	0	0	0	14	10	22	0	0	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1072	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1073	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0	0	0	0	0	0	0	20	38	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	15	30	14	0	0	0	0	0	0	11	12	10	2	0	0	0	0	0	0	0	0	0	0	0
ASV_1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	7	0	0	10	21	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0	30	0	0	0
ASV_1079	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1080	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	33	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	51	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1082	0	5	0	0	0	0	0	0	0	4	0	0	0	0	4	7	7	7	2	0	0	31	15	14	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1083	0	0	0	16	13	0	0	0	0	0	0	0	10	17	20	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1084	0	0	0	16	21	12	0	0	0	0	0	0	16	13	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1085	0	0	0	16	21	0	0	0	0	0	0	0	0	10	22	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV_1086	0	0	0	15	0	8	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
ASV_1087	0	0	0	14	0	0	0	0	0	0	0	0	21	0	18	0	0	0	32	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1088	0	0	0	8	13	8	0	0	0	0	0	0	9	9	8	0	0	0	6	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	20	0	0	0	0
ASV_1089	0	0	0	0	28	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0	8	13	15	0	0	0	0
ASV_1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103
ASV_1091	0	0	0	14	14	23	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1092	0	0	0	0	22	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV_1093	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	11	15	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	10	0	0	0	0
ASV_1094	0	23	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_1095	0	15	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	23	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	0	0	3	0	0	0
ASV_1096	0	0	0	5	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	18	32	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1097	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	44	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1098	0	0	0	0	0	19	0	0	0	0	0	0	17	13	7	0	0	0	17	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV_1099	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	13	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	0
ASV_1100	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	14	26	0	0	0	5	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	8	2	0
ASV_1101	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	7	0	0	0	6	0	17	21	0	14	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1102	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	17	29	14	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0
ASV_1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	35	0	0	0	0
ASV_1104	0	0	0	21	9	17	0	0	0	0	0	0	10	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV_1105	0	0	0	0	0	25	0	0	0	0	0	0	16	12	11	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0
ASV_1106	0	0	0	4	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	12	3	11	4	6	10	19	0	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	0	5	0	0	2	0	0
ASV_1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	18	0	0	0	0	0	0	33	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1108	0	0	0	0	0	8	0	0	0	0	0	0	21	20	0	0	0	0	0	0	25	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
ASV_1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
ASV_1112	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	21	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
ASV_1113	0	0	0	77	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1114	0	0	0	9	18	0	0	0	0	0	0	0	19	12	29	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1115	0	0	0	0	16	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
ASV_1116	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	14	0	6	0	9	8	0	0	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
ASV_1117	0	0	0	0	0	4	0	0	0	0	4	0	0	0	6	0	0	0	0	0	8	0	0	0	5	0	0	14	27	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	12	0	0	0	0	0
ASV_1118	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	26	0	0	0	0	0
ASV_1119	0	0	0	0	0	0	0	0	0	0	0	0	17	17	16	0	0	0	22	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV_1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
ASV_1121	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	10	0	0	0	0	0	0	9	16	7	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1122	0	0	0	9	0	10	0	0	0	0	0	0	8	14	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13	4	8	0	0	0	0	0	5	0	13	0	0	0	0
ASV_1123	0	0	0	0	0	0	6	4	0	0	12	0	0	0	0	10	0	12	6	15	0	7	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1124	0	0	0	0	0	0	0	0	0	37	9	0	0	0	0	0	0	16	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1125	0	0	0	0	0	0	0	0	0	18	33	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ASV_1126	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	4	0	0	0	26	0	0	0	0	0	0	0	0	13	1	0
ASV_1127	3	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	22	5	5	0	11	0	0	0	0	8	0	0
ASV_1128	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	5	7	0	0	0	0	0	0	14	19	8	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	11	0	0	0	0
ASV_1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
ASV_1130	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1131	0	0	0	24	26	36	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1132	0	0	0	22	0	0	0	0	0	0	0	0	35	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV_1133	0	0	0	10	0	0	0	0	0	0	0	0	8	0	9	0	0	0	36	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV_1134	0	0	0	6	10	9	0	0	0	0	0	0	15	8	0	0	0	0	0	10	9	0	0	0	0	0	0	11	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1135	0	0	0	0	16	0	0	0	0	0	0	0	5	13	23	0	0	0	25	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1136	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1137	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1138	11	16	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	23	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ASV_1139	0	16	0	0	0	0	17	0	0	0	0	0	0	0	0	14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV_1140	0	0	3	0	0	0	0	9	0	0	15	0	0	0	0	48	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV_1141	0	0	0	50	0	22	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1142	0	0	0	0	13	0	0	0	0	0	0	0	6	0	8	0	0	0	13	28	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
