	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	sa35	sa36	sa37	sa38	sa39	sa40	sa41	sa42	sa43	sa44	sa45	sa46	sa47	sa48	sa49	sa50	sa51
ASV_27	16	96	0	0	8	0	0	0	0	2281	3678	3234	27	0	0	0	0	0	0	0	0	0	0	0	62	22	14	15	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	180	315	64	0	0	0	199	162	0	187	153	156	0	0	0	235	336	251	0	0	0	255	125	133	407	133	261	0	0	0	1502	404	766	270	297	488	0	0	0	545	341	387	122	111	0	0	0	224	145	224	0
ASV_29	42	36	0	766	652	858	0	0	0	0	36	0	445	399	322	0	0	0	161	222	279	0	0	0	78	157	22	147	269	130	22	0	24	143	254	60	450	336	660	33	27	23	47	46	468	365	835	0	0	0	0
ASV_30	0	0	0	944	1687	231	0	0	0	6	0	17	329	203	679	0	0	0	592	311	86	0	0	0	45	0	0	466	167	82	13	0	0	0	0	0	377	143	373	0	0	0	30	0	67	934	825	0	0	0	0
ASV_31	204	496	65	0	0	7	410	500	0	1019	1144	378	15	18	0	872	812	938	0	0	0	94	72	48	7	0	0	0	0	0	10	0	0	16	19	67	0	0	0	39	26	27	111	295	0	0	0	179	190	255	0
ASV_32	118	119	64	0	0	0	526	530	0	124	130	196	0	0	0	791	672	602	0	0	0	83	51	91	106	16	107	0	0	0	322	472	627	23	0	0	0	0	0	223	118	68	147	229	0	0	0	317	373	442	0
ASV_33	0	24	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	80	0	18	0	0	0	6876	156	0	11	0	7	0	0	0	26	139	10	0	16	0	0	0	0
ASV_34	322	291	97	0	0	14	241	176	0	158	92	209	19	13	13	284	277	251	19	29	0	753	698	133	87	33	50	12	0	0	258	43	103	180	438	341	0	0	0	204	193	234	160	186	0	0	0	196	216	298	0
ASV_35	40	92	23	0	0	0	142	112	0	207	164	50	0	0	0	211	200	171	0	0	0	230	153	165	330	27	207	0	0	0	553	419	570	109	48	312	0	0	0	338	370	285	145	267	0	0	0	383	389	445	0
ASV_36	245	275	78	0	0	0	67	41	0	154	57	109	0	0	0	48	44	49	0	0	0	67	42	0	533	313	121	104	150	98	538	55	235	207	827	920	71	81	68	134	170	209	270	362	0	0	74	106	106	118	0
ASV_37	22	37	14	71	146	116	34	39	0	30	20	17	46	53	79	40	37	42	59	36	43	57	50	56	283	766	105	66	202	115	639	151	523	150	459	364	62	115	140	231	310	297	61	96	143	98	206	96	112	126	0
ASV_38	219	323	66	0	0	0	294	273	0	224	171	138	0	4	0	192	242	240	0	0	0	305	183	68	104	21	55	11	14	0	165	120	222	136	128	327	0	0	0	343	250	246	274	345	0	0	0	402	409	511	0
ASV_39	115	59	34	0	0	0	125	177	0	255	287	249	0	5	2	365	313	525	0	0	0	122	60	486	324	9	584	0	0	0	238	507	188	89	19	24	0	0	3	173	294	116	238	283	0	0	0	186	259	229	0
ASV_40	56	57	0	38	95	99	103	0	0	69	115	97	63	34	63	87	0	0	122	120	25	482	229	454	446	81	649	95	20	25	289	2077	83	40	0	0	58	61	75	0	0	0	0	117	53	56	143	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	121	79	0	11	0	372	71	265	438	832	1840	9	0	0	718	718	845	0	0	0	0	0	0	39	64	0
